question_number,question_text,marks,year,question_category,sub_category
16,The Citizens’ charter has been a landmark initiative in ensuring citizen-centric administration. But it is yet to reach its full potential. Identify the factors hindering the realisation of its promise and suggest measures to overcome them.,15,2024,Governance,
17,In a crucial domain like the public healthcare system the Indian State should play a vital role to contain the adverse impact of marketisation of the system. Suggest some measures through which the State can enhance the reach of public healthcare at the grassroots level.,15,2024,Governance,
18,e-Governance is not just about the routine application of digital technology in service delivery process. It is as much about multifarious interactions for ensuring transparency and accountability. In this context evaluate the role of the ‘Interactive Service Model’ of e-governance.,15,2024,Governance,
19,‘Terrorism has become a significant threat to global peace and security.’ Evaluate the effectiveness of the United Nations Security Council’s Counter Terrorism Committee (CTC) and its associated bodies in addressing and mitigating this threat at the international level.,15,2024,International Relations,
20,Discuss the geopolitical and geostrategic importance of Maldives for India with a focus on global trade and energy flows. Further also discuss how this relationship affects India’s maritime security and regional stability amidst international competition?,15,2024,International Relations,
7,Discuss the role of the Competition Commission of India in containing the abuse of dominant position by the Multi-National Corporations in India. Refer to the recent decisions.,10,2023,Economics,
6,The crucial aspect of development process has been the inadequate attention paid to Human Resource Development in India. Suggest measures that can address this inadequacy.,10,2023,Governance,
8,"E-governance, as a critical tool of governance, has ushered in effectiveness, transparency and accountability in governments. What inadequacies hamper the enhancement of these features?",10,2023,Governance,
17,"""Development and welfare schemes are vulnerable by its nature, are discriminatory in approach."" Do you agree? Give reasons for your answer.",15,2023,Governance,
18,"Skill development programmes have succeeded in increasing human resources supply to various sectors. In the context of the statement analyse the linkages between education, skill and employment.",15,2023,Governance,
9,"""Virus of Conflict is affecting the functioning of the SCO"". In the light of the above statement point out the role of India in mitigating the problems.",10,2023,International Relations,
10,Indian diaspora has scaled new heights in the West. Describe its economic and political benefits for India.,10,2023,International Relations,
19,"""The expansion and strengthening of NATO and a stronger US-Europe strategic partnership works well for India."" What is your opinion about this statement? Give reasons and examples to support your answer.",15,2023,International Relations,
20,"""Sea is an important Component of the Cosmos."" Discuss in the light of the above statement the role of the IMO (International Maritime Organisation) in protecting environment and enhancing maritime safety and security.",15,2023,International Relations,
1,"""Constitutionally guaranteed judicial independence is a prerequisite of democracy."" Comment.",10,2023,Polity,
2,Who are entitled to receive free legal aid? Assess the role of the National Legal Services Authority (NALSA) in rendering free legal aid in India.,10,2023,Governance,
3,"""The states in India seem reluctant to empower urban local bodies both functionally as well as financially."" Comment.",10,2023,Polity,
4,Compare and contrast the British and Indian approaches to Parliamentary sovereignty.,10,2023,Polity,
5,Discuss the role of Presiding Officers of state legislatures in maintaining order and impartiality in conducting legislative work and in facilitating best democratic practices.,10,2023,Polity,
11,"""The Constitution of India is a living instrument with capabilities of enormous dynamism. It is a constitution made for a progressive society."" Illustrate with special reference to the expanding horizons of the right to life and personal liberty.",15,2023,Polity,
12,Explain the constitutional perspectives of Gender Justice with the help of relevant Constitutional Provisions and case laws.,15,2023,Polity,
13,Account for the legal and political factors responsible for the reduced frequency in using Article 356 by the Union Governments since mid 1990s.,15,2023,Polity,
14,Discuss the contribution of civil society groups for women’s effective and meaningful participation and representation in state legislatures in India.,15,2023,Polity,
15,Explain the significance of the 101st Constitutional Amendment Act. To what extent does it reflect the accommodative spirit of federalism ?,15,2023,Polity,
16,Explain the structure of the Parliamentary Committee system. How far have the financial committees helped in the institutionalisation of Indian Parliament?,15,2023,Polity,
16,"Besides the welfare schemes, India needs deft management of inflation and unemployment to serve the poor and the underprivileged sections of the society. Discuss.",15,2022,Economics,
6,The Gati-Shakti Yojana needs meticulous coordination between the government and the private sector to achieve the goal of connectivity. Discuss.,10,2022,Governance,
7,"The Rights of Persons with Disabilities Act, 2016 remains only a legal document without intense sensitisation of government functionaries and citizens regarding disability. Comment.",10,2022,Governance,
8,"Reforming the government delivery system through the Direct Benefit Transfer Scheme is a progressive step, but it has its limitations too. Comment.",10,2022,Governance,
17,Do you agree with the view that increasing dependence on donor agencies for development reduces the importance of community participation in the development process ? Justify your answer.,15,2022,Governance,
18,"The Right of Children to Free and Compulsory Education Act, 2009 remains inadequate in promoting incentive-based system for children’s education without generating awareness about the importance of schooling. Analyse.",15,2022,Governance,
9,‘India is an age-old friend of Sri Lanka’. Discuss India’s role in the recent crisis in Sri Lanka in the light of the preceding statement.,10,2022,International Relations,
10,Do you think BIMSTEC is a parallel organisation like the SAARC ? What are the similarities and dissimilarities between the two ? How are Indian foreign policy objectives realized by forming this new organization ?,10,2022,International Relations,
19,"How will I2U2 (India, Israel, UAE and USA) grouping transform India’s position in global politics ?",15,2022,International Relations,
20,‘Clean energy is the order of the day.’ Describe briefly India’s changing policy towards climate change in various international fora in the context of geopolitics.,15,2022,International Relations,
1,“The most significant achievement of modern law in India is the constitutionalization of environmental problems by the Supreme Court.” Discuss this statement with the help of relevant case laws.,10,2022,Polity,
2,"“Right of movement and residence throughout the territory of India are freely available to the Indian citizens, but these rights are not absolute.” Comment.",10,2022,Polity,
3,"To what extent, in your opinion, has the decentralisation of power in India changed the governance landscape at the grassroots?",10,2022,Polity,
4,Discuss the role of the Vice-President of India as the Chairman of the Rajya Sabha.,10,2022,Polity,
5,Discuss the role of the National Commission for Backward Classes in the wake of its transformation from a statutory body to a constitutional body.,10,2022,Polity,
11,"Discuss the procedures to decide the disputes arising out of the election of a Member of the Parliament or State Legislature under The Representation of the People Act, 1951. What are the grounds on which the election of any returned candidate may be declared void ? What remedy is available to the aggrieved party against the decision ? Refer to the case laws.",15,2022,Polity,
12,Discuss the essential conditions for exercise of the legislative powers by the Governor. Discuss the legality of re-promulgation of ordinances by the Governor without placing them before the Legislature.,15,2022,Polity,
13,"“While the national political parties in India favour centralisation, the regional parties are in favour of State autonomy.” Comment.",15,2022,Polity,
14,Critically examine the procedures through which the Presidents of India and France are elected.,15,2022,Polity,
15,Discuss the role of the Election Commission of India in the light of the evolution of the Model Code of Conduct.,15,2022,Polity,
8,"Can the vicious cycle of gender inequality, poverty and malnutrition be broken through microfinancing of SHGs? Explain with examples.",10,2021,Economics,
6,"Besides being a moral imperative of a Welfare State, primary health structure is a necessary precondition for sustainable development.” Analyze.",10,2021,Governance,
7,Earn while you learn’ scheme needs to be strengthened to make vocational education and skill training meaningful.” Comment.,10,2021,Governance,
16,"Has digital illiteracy, particularly in rural areas, coupled with lack of Information and Communication Technology (ICT) accessibility hindered socio-economic development? Examine with justification.",15,2021,Governance,
18,Can Civil Society and Non-Governmental Organizations present an alternative model of public service delivery to benefit the common citizen? Discuss the challenges of this alternative model.,15,2021,Governance,
17,"Though women in post-Independent India have excelled in various fields, the social attitude towards women and feminist movement has been patriarchal.” Apart from women education and women empowerment schemes, what interventions can help change this milieu?",15,2021,Indian Society,
9,"If the last few decades were of Asia’s growth story, the next few are expected to be of Africa’s.” In the light of this statement, examine India’s influence in Africa in recent years.",10,2021,International Relations,
10,"The USA is facing an existential threat in the form of a China, that is much more challenging than the erstwhile Soviet Union.” Explain.",10,2021,International Relations,
19,Critically examine the aims and objectives of SCO. What importance does it hold for India?,15,2021,International Relations,
20,The new tri-nation partnership AUKUS is aimed at countering China’s ambitions in the Indo-Pacific region. Is it going to supersede the existing partnerships in the region? Discuss the strength and impact of AUKUS in the present scenario.,15,2021,International Relations,
1,Constitutional Morality’ is rooted in the Constitution itself and is founded on its essential facets. Explain the doctrine of 'Constitutional Morality' with the help of relevant judicial decisions.,10,2021,Polity,
2,"Discuss the desirability of greater representation to women in the higher judiciary to ensure diversity, equity and inclusiveness.",10,2021,Polity,
3,How have the recommendations of the 14th Finance Commission of India enabled the States to improve their fiscal position?,10,2021,Polity,
4,"To what extent, in your view, the Parliament is able to ensure accountability of the executive in India?",10,2021,Polity,
5,Pressure groups play a vital role in influencing public policy making in India.” Explain how the business associations contribute to public policies.,10,2021,Polity,
11,"The jurisdiction of the Central Bureau of Investigation (CBI) regarding lodging an FIR and conducting probe within a particular State is being questioned by various States. However, the power of the States to withhold consent to the CBI is not absolute. Explain with special reference to the federal character of India.",15,2021,Polity,
12,"Though the Human Rights Commissions have contributed immensely to the protection of human rights in India, yet they have failed to assert themselves against the mighty and powerful. Analyzing their structural and practical limitations, suggest remedial measures.",15,2021,Polity,
13,Analyze the distinguishing features of the notion of Right to Equality in the Constitutions of the USA and India.,15,2021,Polity,
14,Explain the constitutional provisions under which Legislative Councils are established. Review the working and current status of Legislative Councils with suitable illustrations.,15,2021,Polity,
15,Do Department-related Parliamentary Standing Committees keep the administration on its toes and inspire reverence for parliamentary control? Evaluate the working of such committees with suitable examples.,15,2021,Polity,
16,"""The incidence and intensity of poverty are more important in determining poverty based on income alone"". In this context analyse the latest United Nations Multidimensional Poverty Index Report.",15,2020,Economics,
17,"""Micro-Finance as an anti-poverty, is aimed at asset creation and income security of the rural poor in India"". Evaluate the role of the Self Help Groups in achieving the twin objectives along with empowering women in rural India.",15,2020,Economics,
6,"In order to enhance the prospects of social development, sound and adequate health care policies are needed particularly in the fields of geriatric and maternal health care. Discuss.",10,2020,Governance,
7,"""Institutional quality is a crucial driver of economic performance"". In this context suggest reforms in Civil Service for strengthening democracy.",10,2020,Governance,
8,"The emergence of Fourth Industrial Revolution (Digital Revolution) has initiated e-Governance as an integral part of government"". Discuss.",10,2020,Governance,
13,"The strength and sustenance of local institutions in India has shifted from their formative phase of 'Functions, Functionaries and Funds' to the contemporary stage of 'Functionality'. Highlight the critical challenges faced by local institutions in terms of their functionality in recent times.",15,2020,Governance,
18,National Education Policy 2020 is in conformity with the Sustainable Development Goal-4 (2030). It intends to restructure and reorient education system in India. Critically examine the statement.,15,2020,Governance,
9,Critically examine the role of WHO in providing global health security during the Covid-19 pandemic.,10,2020,International Relations,
10,Indian diaspora has a decisive role to play in the politics and economy of America and European Countries'. Comment with examples.,10,2020,International Relations,
19,"Quadrilateral Security Dialogue (Quad) is transforming itself into a trade bloc from a military alliance, in present times - Discuss.",15,2020,International Relations,
20,What is the significance of Indo-US defence deals over Indo-Russian defence deals? Discuss with reference to stability in the Indo-Pacific region.,15,2020,International Relations,
1,"""There is a need for simplification of procedure for disqualification of persons found guilty of corrupt practices under the Representation of Peoples Act"". Comment.",10,2020,Polity,
2,"""Recent amendments to the Right to Information Act will have profound impact on the autonomy and independence of the Information Commission"". Discuss.",10,2020,Polity,
3,"How far do you think cooperation, competition and confrontation have shaped the nature of federation in India ? Cite some recent examples to validate your answer.",10,2020,Polity,
4,The judicial systems in India and UK seem to be converging as well as diverging in recent times. Highlight the key points of convergence and divergence between the two nations in terms of their judicial practices.,10,2020,Polity,
5,"Once a Speaker, Always a Speaker'! Do you think this practice should be adopted to impart objectivity to the office of the Lok Sabha? What could be its implications for the robust functioning of parliamentary business in India ?",10,2020,Polity,
11,"Indian Constitution exhibits centralising tendencies to maintain unity and integrity of the nation. Elucidate in the perspective of the Epidemic Diseases Act, 1897; The Disaster Management Act, 2005 and recently passed Farm Acts.",15,2020,Polity,
12,Judicial ism is antithetical to the doctrine of separation of powers as envisaged in the Indian Constitution. In this context justify the filing of large number of public interest petitions praying for issuing guidelines to executive authorities.,15,2020,Polity,
14,Raja Sabha has been transformed from a 'useless steppney tyre' to the most useful supporting organ in past few decades. Highlight the factors as well as the areas in which this transformation could be visible.,15,2020,Polity,
15,Which steps are required for constitutionalization of a National Commission for Women would ensure greater gender justice and empowerment in India? Give reasons.,15,2020,Polity,
1,Do you think that Constitution of India does not accept principle of strict separation of powers rather it is based on the principle of 'checks and balance'? Explain.,10,2019,Polity,
2,"""The Central Administrative Tribunal which was established for redressal of grievances and complaints by or against central government employees, nowadays is exercising its powers as an independent judicial authority."" Explain.",10,2019,Governance,
3,What are the methods used by the farmers' organisations to influence the policy-makers in India and how effective are these methods?,10,2019,Agriculture,
4,"From the resolution of contentious issues regarding distribution of legislative powers by the courts, 'Principle of Federal Supremacy' and 'Harmonious Construction' have emerged. Explain.",10,2019,Polity,
5,Can France learn from the Indian Constitution's approach to secularism?,10,2019,Polity,
6,"Despite consistent experience of high growth, India still goes with the lowest indicators of human development. Examine the issues that make balanced and inclusive development elusive.",10,2019,Economics,
7,There is a growing divergence in the relationship between poverty and hunger in India. The shrinking of social expenditure by the government is forcing the poor to spend more on non-food essential items squeezing their food-budget. - Elucidate.,10,2019,Economics,
8,"Implementation of Information and Communication Technology (ICT) based Projects/Programmes usually suffers in terms of certain vital factors. Identify these factors, and suggest measures for their effective implementation.",10,2019,Governance,
9,"""The time has come for India and Japan to build a strong contemporary relationship, one involving global and strategic partnership that will have a great significance for Asia and the world as a whole."" Comment.",10,2019,International Relations,
10,"""Too little cash, too much politics, leaves UNESCO fighting for life."" Discuss the statement in the light of US' withdrawal and its accusation of the cultural body as being 'anti-Israel bias'.",10,2019,International Relations,
11,"On what grounds a people's representative can be disqualified under the Representation of Peoples Act, 1951? Also mention the remedies available to such person against his disqualification.",15,2019,Polity,
12,"""Parliament's power to amend the Constitution is a limited power and it cannot be enlarged into absolute power."" In the light of this statement explain whether Parliament under Article 368 of the Constitution can destroy the Basic Structure of the Constitution by expanding its amending power?",15,2019,Polity,
13,"""The reservation of seats for women in the institutions of local self-government has had a limited impact on the patriarchal character of the Indian Political Process."" Comment.",15,2019,Polity,
14,"The Attorney-General is the chief legal adviser and lawyer of the Government of India."" Discuss.",15,2019,Polity,
15,"Individual Parliamentarian's role as the national law maker is on a decline, which in turn, has adversely impacted the quality of debates and their outcome. Discuss.",15,2019,Polity,
16,"In the context of neo-liberal paradigm of development planning, multi-level planning is expected to make operations cost-effective and remove many implementation blockages."" Discuss.",15,2019,Economics,
17,The need for cooperation among various service sectors has been an inherent component of development discourse. Partnership bridges the gap among the sectors. It also sets in motion a culture of 'collaboration' and 'team spirit'. In the light of statements above examine India's development process.,15,2019,Economics,
18,"Performance of welfare schemes that are implemented for vulnerable sections is not so effective due to absence of their awareness and active involvement at all stages of policy process."" Discuss.",15,2019,Governance,
19,"""The long-sustained image of India as a leader of the oppressed and marginalised nations has disappeared on account of its new found role in the emerging global order."" Elaborate.",15,2019,International Relations,
20,"What introduces friction into the ties between India and the United States is that India is still unable to find for India a position in its global strategy, which would satisfy India's national self-esteem and ambitions."" Explain with suitable examples.",15,2019,International Relations,
1,"In the light of recent controversy regarding the use of Electronic Voting Machines (EVM), what are the challenges before the Election Commission of India to ensure the trustworthiness of elections in India?",10,2018,Polity,
2,Whether National Commission for Scheduled Castes (NCSC) can enforce the implementation of constitutional reservation for the Scheduled Castes in the religious minority institutions? Examine.,10,2018,Polity,
3,Under what circumstances can the Financial Emergency be proclaimed by the President of India? What consequences follow when such a declaration remains in force?,10,2018,Polity,
4,"Why do you think the committees are considered to be useful for parliamentary work? Discuss, in this context, the role of the Estimates Committee.",10,2018,Polity,
5,"""The Comptroller and Auditor General (CAG) has a very vital role to play."" Explain how this is reflected in the method and terms of his appointment as well as the range of powers he can exercise.",10,2018,Polity,
6,"""Policy contradictions among various competing sectors and stakeholders have resulted in inadequate 'protection and prevention of degradation' to environment."" Comment with relevant illustrations.",10,2018,Environment and Ecology,
7,Appropriate local community-level healthcare intervention is a prerequisite to achieve 'Health for All' in India. Explain.,10,2018,Governance,
8,"E-governance is not only about utilization of the power of new technology, but also much about critical importance of the 'use value' of information. Explain.",10,2018,Governance,
9,"""India's relations with Israel have, of late, acquired a depth and diversity, which cannot be rolled back."" Discuss.",10,2018,International Relations,
10,"A number of outside powers have entrenched themselves in Central Asia, which is a zone of interest to India. Discuss the implications, in this context, of India's joining the Ashgabat Agreement, 2018.",10,2018,International Relations,
11,Whether the Supreme Court Judgment (July 2018) can settle the political tussle between the Lt. Governor and elected government of Delhi? Examine.,15,2018,Polity,
12,"How far do you agree with the view that tribunals curtail the jurisdiction of ordinary courts? In view of this, discuss the constitutional validity and competency of the tribunals in India.",15,2018,Polity,
13,India and USA are two large democracies. Examine the basic tenets on which the two political systems are based.,15,2018,Polity,
14,How is the Finance Commission of India constituted? What do you know about the terms of reference of the recently constituted Finance Commission? Discuss.,15,2018,Polity,
15,"Assess the importance of the Panchayat system in India as a part of local government. Apart from government grants, what sources the Panchayats can look out for financing developmental projects?",15,2018,Polity,
16,Multiplicity of various commissions for the vulnerable sections of the society leads to problems of overlapping jurisdiction and duplication of functions. Is it better to merge all commissions into an umbrella Human Rights Commission? Argue your case.,15,2018,Governance,
17,How far do you agree with the view that the focus on lack of availability of food as the main cause of hunger takes the attention away from ineffective human development policies in India?,15,2018,Governance,
18,"The Citizens' Charter is an ideal instrument of organizational transparency and accountability, but it has its own limitations. Identify the limitations and suggest measures for greater effectiveness of the Citizens' Charter.",15,2018,Governance,
19,"What are the key areas of reform if the WTO has to survive in the present context of Trade War, especially keeping in mind the interest of India?",15,2018,International Relations,
20,In what ways would the ongoing US-Iran Nuclear Pact Controversy affect the national interest of India? How should India respond to this situation?,15,2018,International Relations,
1,"""The local self-government system in India has not proved to be effective instrument of governance."" Critically examine the statement and give your views to improve the situation. (150 words)",10,2017,Polity,
2,"Critically examine the Supreme Court's judgement on 'National Judicial Appointments Commission Act, 2014' with reference to appointment of judges of higher judiciary in India. (150 words)",10,2017,Polity,
3,"""Simultaneous election to the Lok Sabha and the State Assemblies will limit the amount of time and money spent in electioneering but it will reduce the government's accountability to the people."" Discuss. (Answer in 150 words)",10,2017,Polity,
4,How do pressure groups influence Indian political process? Do you agree with this view that informal pressure groups have emerged as more powerful than formal pressure groups in recent years? (Answer in 150 words),10,2017,Polity,
5,Discuss the role of Public Accounts Committee in establishing accountability of the government to the people. (Answer in 150 words),10,2017,Polity,
6,"""To ensure effective implementation of policies addressing water, sanitation and hygiene needs the identification of the beneficiary segments is to be synchronized with the anticipated outcomes."" Examine the statement in the context of the WASH scheme. (Answer in 150 words)",10,2017,Governance,
7,"Does the Rights of Persons with Disabilities Act, 2016 ensure effective mechanism for empowerment and inclusion of the intended beneficiaries in the society? Discuss. (Answer in 150 words)",10,2017,Governance,
8,Hunger and poverty are the biggest challenges for good governance in India still today. Evaluate how far successive governments have progressed in dealing with these humongous problems. Suggest measures for improvement. (Answer in 150 words),10,2017,Governance,
9,"""China is using its economic relations and positive trade surplus as tools to develop potential military power status in Asia."" In the light of this statement, discuss its impact on India as her neighbour. (Answer in 150 words)",10,2017,International Relations,
10,What are the main functions of the United Nations Economic and Social Council (ECOSOC)? Explain different functional commissions attached to it. (Answer in 150 words),10,2017,International Relations,
11,"Explain the salient features of the Constitution (One Hundred and First Amendment) Act, 2016. Do you think it is efficacious enough ""to remove cascading effect of taxes and provide for common national market for goods and services""? (Answer in 250 words)",15,2017,Polity,
12,Examine the scope of Fundamental Rights in the light of the latest judgement of the Supreme Court on Right to Privacy. (Answer in 250 words),15,2017,Polity,
13,"The Indian Constitution has provisions for holding joint session of the two Houses of the Parliament. Enumerate the occasions when this would normally happen and also the occasions when it cannot, with reason thereof. (Answer in 250 words)",15,2017,Polity,
14,To enhance the quality of democracy in India the Election Commission of India has proposed electoral reforms in 2016. What are the suggested reforms and how far are they significant to make democracy successful? (Answer in 250 words),15,2017,Polity,
15,Is the National Commission for Women able to strategize and tackle the problems that women face at both public and private spheres? Give reasons in support of your answer. (Answer in 250 words),15,2017,Governance,
16,"""The emergence of Self-Help Groups (SHGs) in contemporary times points to the slow but steady withdrawal of the State from developmental activities."" Examine the role of the SHGs in developmental activities and the measures taken by the Government of India to promote the SHGs. (Answer in 250 words)",15,2017,Governance,
17,"""Poverty alleviation programmes in India remain mere showpieces until and unless they are backed up by political will."" Discuss with reference to the performance of the major poverty alleviation programmes in India. (Answer in 250 words)",15,2017,Governance,
18,"Initially Civil Services in India were designed to achieve the goals of neutrality and effectiveness, which seems to be lacking in the present context. Do you agree with the view that drastic reforms are required in Civil Services? Comment. (Answer in 250 words)",15,2017,Governance,
19,The question of India's Energy Security constitutes the most important part of India's economic progress. Analyze India's energy policy cooperation with West Asian countries. (Answer in 250 words),15,2017,International Relations,
20,Indian diaspora has an important role to play in South-East Asian countries' economy and society. Appraise the role of Indian diaspora in South-East Asia in this context. (Answer in 250 words),15,2017,International Relations,
1,"Discuss the essentials of the 69th Constitutional Amendment Act and anomalies, if any, that have led to recent reported conflicts between the elected representatives and the institution of the Lieutenant Governor in the administration of Delhi. Do you think that this will give rise to a new trend in the functioning of the Indian federal politics?",12½,2016,Polity,
2,"To what extent is Article 370 of the Indian Constitution, bearing marginal note “Temporary provision with respect to the State of Jammu and Kashmir”, temporary? Discuss the future prospects of this provision in the context of Indian polity.",12½,2016,Polity,
3,“The Indian party system is passing through a phase of transition which looks to be full of contradictions and paradoxes.” Discuss.,12½,2016,Polity,
4,Exercise of CAG’s powers in relation to the accounts of the Union and the States is derived from Article 149 of the Constitution. Discuss whether audit of the Government’s policy implementation could amount to overstepping its own (CAG’s) jurisdiction.,12½,2016,Polity,
5,Discuss each adjective attached to the word ‘Republic’ in the ‘Preamble’. Are they defendable in the present circumstances?,12½,2016,Polity,
6,"What was held in the Coelho case? In this context, can you say that judicial review is of key importance amongst the basic features of the Constitution?",12½,2016,Polity,
7,"Did the Government of India Act, 1935 lay down a federal constitution? Discuss.",12½,2016,Polity,
8,What is a quasi-judicial body? Explain with the help of concrete examples.,12½,2016,Polity,
9,Professor Amartya Sen has advocated important reforms in the realms of primary education and primary health care. What are your suggestions to improve their status and performance?,12½,2016,Others,
10,"“In the Indian governance system, the role of non-state actors has been only marginal.” Critically examine this statement.",12½,2016,Governance,
11,"""Effectiveness of the government system at various levels and people's participation in the governance system are inter-dependent."" Discuss their relationship in the context of India.",12½,2016,Governance,
12,"In the integrity index by Transparency International, India stands very low. Discuss briefly the legal, political, economic, social and cultural factors that have caused the decline of public morality in India.",12½,2016,Governance,
13,"Has the Indian governmental system responded adequately to the demands of Liberalization, Privatization and Globalization started in 1991? What can the government do to be more responsive to this important change?",12½,2016,Polity,
14,“Traditional bureaucratic structure and culture have hampered the process of socio-economic development in India.” Comment.,12½,2016,Governance,
15,Examine the main provisions of the National Child Policy and throw light on the status of its implementation.,12½,2016,Governance,
16,"“Demographic Dividend in India will remain only theoretical unless our manpower becomes more educated, aware, skilled and creative.” What measures have been taken by the government to enhance the capacity of our population to be more productive and employable?",12½,2016,Indian Society,
17,“The broader aims and objectives of WTO are to manage and promote international trade in the era of globalization. But the Doha round of negotiations seem doomed due to differences between the developed and the developing countries.” Discuss in the Indian perspective.,12½,2016,International Relations,
18,Evaluate the economic and strategic dimensions of India’s Look East Policy in the context of the post Cold War international scenario.,12½,2016,International Relations,
19,“Increasing cross-border terrorist attacks in India and growing interference in the internal affairs of several member-states by Pakistan are not conducive for the future of SAARC (South Asian Association for Regional Cooperation).” Explain with suitable examples.,12½,2016,International Relations,
20,What are the aims and objectives of the McBride Commission of the UNESCO? What is India’s position on these?,12½,2016,International Relations,
1,Discuss the possible factors that inhibit India from enacting for its citizens a uniform civil code as provided for in the Directive Principles of State Policy.,12½,2015,Polity,
2,The concept of cooperative federalism has been increasingly emphasized in recent years. Highlight the drawbacks in the existing structure and the extent to which cooperative federalism would answer the shortcomings.,12½,2015,Polity,
3,"In absence of a well-educated and organized local level government system, ‘Panchayats’ and ‘Samitis’ have remained mainly political institutions and not effective instruments of governance. Critically discuss.",12½,2015,Governance,
4,"Khap Panchayats have been in the news for functioning as extra-constitutional authorities, often delivering pronouncements amounting to human rights violations. Discuss critically the actions taken by the legislative, executive and the judiciary to set the things right in this regard.",12½,2015,Polity,
5,"Resorting to ordinances has always raised concern on violation of the spirit of separation of powers doctrine. While noting the rationales justifying the power to promulgate ordinances, analyze whether the decisions of the Supreme Court on the issue have further facilitated resorting to this power. Should the power to promulgate ordinances be repealed?",12½,2015,Polity,
6,"What are the major changes brought in the Arbitration and Conciliation Act, 1996 through the recent Ordinance promulgated by the President? How far will it improve India’s dispute resolution mechanism? Discuss.",12½,2015,Polity,
7,Does the right to clean environment entail legal regulations on burning crackers during Diwali? Discuss in the light of Article 21 of the Indian Constitution and Judgement(s) of the Apex Court in this regard.,12½,2015,Polity,
8,"Examine critically the recent changes in the rules governing foreign funding of NGOs under the Foreign Contribution (Regulation) Act (FCRA), 1976.",12½,2015,Polity,
9,"The Self-Help Group (SHG) Bank Linkage Programme (SBLP), which is India’s own innovation, has proved to be one of the most effective poverty alleviation and women empowerment programmes. Elucidate.",12½,2015,Economics,
10,How can the role of NGOs be strengthened in India for development works relating to protection of the environment? Discuss throwing light on the major constraints.,12½,2015,Environment and Ecology,
11,The quality of higher education in India requires major improvements to make it internationally competitive. Do you think that the entry of foreign educational institutions would help improve the quality of higher and technical education in the country? Discuss.,12½,2015,Governance,
12,Public health system has limitations in providing universal health coverage. Do you think that the private sector could help in bridging the gap? What other viable alternatives would you suggest?,12½,2015,Governance,
13,"Though there have been several different estimates of poverty in India, all indicate reduction in poverty levels over time. Do you agree? Critically examine with reference to urban and rural poverty indicators.",12½,2015,Economics,
14,"In the light of the Satyam Scandal (2009), discuss the changes brought in corporate governance to ensure transparency, accountability.",12½,2015,Governance,
15,"“If amendment bill to the Whistleblowers Act, 2011 tabled in the Parliament is passed, there may be no one left to protect.” Critically evaluate.",12½,2015,Polity,
16,"“For achieving the desired objectives, it is necessary to ensure that the regulatory institutions remain independent and autonomous.” Discuss in the light of the experiences in recent past.",12½,2015,Governance,
17,Increasing interest of India in Africa has its pros and cons. Critically examine.,12½,2015,International Relations,
18,Discuss the impediments India is facing in its pursuit o f a permanent seat in UN Security Council.,12½,2015,International Relations,
19,Project ‘Mausam’ is considered a unique foreign policy initiative o f the Indian Government to improve relationship with its neighbours. Does the project have a strategic dimension? Discuss.,12½,2015,International Relations,
20,Terrorist activities and mutual distrust have clouded India-Pakistan relations. To what extent the use of soft power like sports and cultural exchanges could help generate goodwill between the two countries? Discuss with suitable examples.,12½,2015,International Relations,
